#Rev: sensefly/geoinfo/3
fileName	latitude	longitude	altitude_wgs84
DSC05023.JPG	37.4965248350	140.9842533200	197.6953430176	
DSC05024.JPG	37.4965212501	140.9848101777	200.0042724609	
DSC05025.JPG	37.4965429669	140.9853686905	198.4016265869	
DSC05026.JPG	37.4965293305	140.9859393105	197.6570281982	
DSC05027.JPG	37.4965074900	140.9865288077	199.8071441650	
DSC05028.JPG	37.4965574926	140.9870892591	199.3002624512	
DSC05029.JPG	37.4965286837	140.9877134678	201.4528656006	
DSC05030.JPG	37.4965340049	140.9882985521	200.5446624756	
DSC05031.JPG	37.4965063020	140.9888934443	198.6663360596	
DSC05032.JPG	37.4965107564	140.9894821429	197.9660949707	
DSC05033.JPG	37.4965223078	140.9900720152	198.6537475586	
DSC05034.JPG	37.4965192262	140.9906800899	197.9567260742	
DSC05035.JPG	37.4965312179	140.9912671671	197.8529968262	
DSC05036.JPG	37.4965143609	140.9918638921	197.7544403076	
DSC05037.JPG	37.4965144017	140.9924428131	198.1867370605	
DSC05038.JPG	37.4965197931	140.9930671382	198.1175994873	
DSC05039.JPG	37.4965247833	140.9936407952	198.0806579590	
DSC05040.JPG	37.4965159421	140.9942332851	201.8158721924	
DSC05041.JPG	37.4965134873	140.9948064803	201.8832244873	
DSC05042.JPG	37.4965277038	140.9954038260	200.7970581055	
DSC05043.JPG	37.4965271601	140.9959437585	198.8444671631	
DSC05044.JPG	37.4965103991	140.9965434890	198.5664978027	
DSC05045.JPG	37.4965417231	140.9971248339	201.0379180908	
DSC05046.JPG	37.4965318542	140.9976896676	201.7497711182	
DSC05047.JPG	37.4964898625	140.9982672889	202.7079925537	
DSC05048.JPG	37.4965560799	140.9988553125	199.6730041504	
DSC05049.JPG	37.4965208554	140.9994433900	198.4373474121	
DSC05050.JPG	37.4965266398	141.0000591530	196.7203979492	
DSC05051.JPG	37.4965176293	141.0006701109	199.0582122803	
DSC05052.JPG	37.4965121049	141.0012689187	199.6578674316	
DSC05053.JPG	37.4965124032	141.0018618210	198.3204345703	
DSC05054.JPG	37.4965206466	141.0024559040	197.9095306396	
DSC05055.JPG	37.4965231093	141.0030264840	197.6049804688	
DSC05056.JPG	37.4965257286	141.0035933224	198.3238372803	
DSC05057.JPG	37.4965120159	141.0041377298	198.8731079102	
DSC05058.JPG	37.4965333290	141.0047509731	198.4505310059	
DSC05059.JPG	37.4965255258	141.0053116765	199.2751770020	
DSC05060.JPG	37.4965194889	141.0059039376	198.4501647949	
DSC05061.JPG	37.4965234384	141.0064834451	199.0285644531	
DSC05062.JPG	37.4965056994	141.0070556941	198.7954254150	
DSC05063.JPG	37.4959461644	141.0070104806	196.9538116455	
DSC05064.JPG	37.4959667759	141.0064538239	198.4922943115	
DSC05065.JPG	37.4959714301	141.0058466795	197.7851715088	
DSC05066.JPG	37.4959430704	141.0052650258	198.2264709473	
DSC05067.JPG	37.4959559257	141.0046588131	199.2286376953	
DSC05068.JPG	37.4959552518	141.0041052101	199.1804656982	
DSC05069.JPG	37.4959414741	141.0035057616	199.5946655273	
DSC05070.JPG	37.4959493206	141.0029501593	199.9200286865	
DSC05071.JPG	37.4959499692	141.0023588133	202.3536834717	
DSC05072.JPG	37.4959251093	141.0017677840	202.2624816895	
DSC05073.JPG	37.4959648127	141.0011984517	200.7607421875	
DSC05074.JPG	37.4959614585	141.0005817998	200.9933776855	
DSC05075.JPG	37.4959292522	140.9999748983	201.2739257812	
DSC05076.JPG	37.4959494473	140.9993995188	201.3796081543	
DSC05077.JPG	37.4959278406	140.9987649223	201.3150177002	
DSC05078.JPG	37.4959400501	140.9981906347	201.5068664551	
DSC05079.JPG	37.4959411763	140.9976033214	200.8749389648	
DSC05080.JPG	37.4959515522	140.9970445287	199.3854522705	
DSC05081.JPG	37.4959433462	140.9964975474	199.2240142822	
DSC05082.JPG	37.4959448515	140.9959281241	197.6194763184	
DSC05083.JPG	37.4959416585	140.9953423672	198.4603424072	
DSC05084.JPG	37.4959486846	140.9947360558	198.1316833496	
DSC05085.JPG	37.4959427202	140.9941505751	198.5896911621	
DSC05086.JPG	37.4959456325	140.9935847980	197.9053344727	
DSC05087.JPG	37.4959402460	140.9929803085	198.1747741699	
DSC05088.JPG	37.4959247407	140.9923835834	199.2587280273	
DSC05089.JPG	37.4959594567	140.9917781196	198.0080261230	
DSC05090.JPG	37.4959414759	140.9911681093	198.4388122559	
DSC05091.JPG	37.4959405330	140.9905763093	198.6670837402	
DSC05092.JPG	37.4959428831	140.9899895870	200.6416168213	
DSC05093.JPG	37.4959131940	140.9893755815	201.5022430420	
DSC05094.JPG	37.4959562474	140.9887815957	197.9322509766	
DSC05095.JPG	37.4959306713	140.9881953066	199.6693572998	
DSC05096.JPG	37.4959503758	140.9875857951	199.6523132324	
DSC05097.JPG	37.4959401970	140.9869949584	198.6027221680	
DSC05098.JPG	37.4959384221	140.9863959719	198.6204833984	
DSC05099.JPG	37.4959372067	140.9858187999	197.7437744141	
DSC05100.JPG	37.4959332060	140.9852158067	198.2901916504	
DSC05101.JPG	37.4959465071	140.9846467373	200.2068939209	
DSC05102.JPG	37.4959330719	140.9840523320	198.7914428711	
DSC05103.JPG	37.4953869239	140.9842542044	197.4672393799	
DSC05104.JPG	37.4953930928	140.9848473157	200.8810577393	
