#Rev: sensefly/geoinfo/3
fileName	latitude	longitude	altitude_wgs84
DSC05304.JPG	37.4880385443	140.9902040520	197.5634918213	
DSC05305.JPG	37.4880658578	140.9907690894	198.9974060059	
DSC05306.JPG	37.4880717799	140.9913442791	202.1805267334	
DSC05307.JPG	37.4880482825	140.9919120053	201.5456085205	
DSC05308.JPG	37.4880715195	140.9924955999	197.8650817871	
DSC05309.JPG	37.4880418357	140.9930496361	198.4011230469	
DSC05310.JPG	37.4880859941	140.9936615836	199.5121002197	
DSC05311.JPG	37.4880737658	140.9942427769	200.0661315918	
DSC05312.JPG	37.4880653646	140.9948123193	201.1520233154	
DSC05313.JPG	37.4880702834	140.9954138269	201.2290191650	
DSC05314.JPG	37.4880777084	140.9959507740	201.3329162598	
DSC05315.JPG	37.4880643167	140.9965040445	200.3058166504	
DSC05316.JPG	37.4880319868	140.9970834597	199.0982818604	
DSC05317.JPG	37.4880737039	140.9976509543	200.9725799561	
DSC05318.JPG	37.4880575942	140.9982052969	200.9868927002	
DSC05319.JPG	37.4880604789	140.9987746096	199.6835327148	
DSC05320.JPG	37.4880585489	140.9993408898	198.2833099365	
DSC05321.JPG	37.4886237355	140.9989049703	199.2738494873	
DSC05322.JPG	37.4885944600	140.9982735802	200.2529602051	
DSC05323.JPG	37.4886387093	140.9976476340	200.5690765381	
DSC05324.JPG	37.4886071772	140.9970280069	200.1481781006	
DSC05325.JPG	37.4886240999	140.9964333064	200.4641265869	
DSC05326.JPG	37.4886073976	140.9958233188	199.2907257080	
DSC05327.JPG	37.4886181884	140.9951977775	198.1390228271	
DSC05328.JPG	37.4886116444	140.9945835257	197.6861267090	
DSC05329.JPG	37.4886236244	140.9939829638	198.5632934570	
DSC05330.JPG	37.4886096042	140.9933760852	198.2328033447	
DSC05331.JPG	37.4886270085	140.9927859799	195.8254089355	
DSC05332.JPG	37.4886271935	140.9921372511	197.8180999756	
DSC05333.JPG	37.4886162249	140.9915776743	199.2736663818	
DSC05334.JPG	37.4886378983	140.9909701075	200.0040130615	
DSC05335.JPG	37.4886087619	140.9903484526	201.6858520508	
DSC05336.JPG	37.4886192199	140.9897378694	199.6366729736	
DSC05337.JPG	37.4891880136	140.9897518417	200.0628051758	
DSC05338.JPG	37.4891652106	140.9903791482	199.7777252197	
DSC05339.JPG	37.4892128533	140.9909773821	204.3089141846	
DSC05340.JPG	37.4891810974	140.9915531195	203.4348449707	
DSC05341.JPG	37.4891906112	140.9921055508	199.0437316895	
DSC05342.JPG	37.4892091112	140.9926777117	198.5556793213	
DSC05343.JPG	37.4892060042	140.9932336146	200.0090637207	
DSC05344.JPG	37.4892054389	140.9938257972	197.6201324463	
DSC05345.JPG	37.4892112388	140.9943606196	200.0972442627	
DSC05346.JPG	37.4892159193	140.9949437722	196.9244537354	
DSC05347.JPG	37.4892071766	140.9954853999	197.0233459473	
DSC05348.JPG	37.4892061474	140.9960478511	199.1228942871	
DSC05349.JPG	37.4892066154	140.9966246398	198.7346954346	
